"date","Apple","IBM","ITW","TESLA"
2012-03-09,19.470358,200.619995,55.439999,6.948
2012-03-12,19.714285,201,55.66,7.202
2012-03-13,20.289286,203.779999,56.689999,7.218
2012-03-14,21.056429,204.720001,56.950001,7.058
2012-03-15,20.912857,206,57.880001,7
2012-03-16,20.913214,206.009995,57.91,7.064
2012-03-19,21.467857,205.720001,58.080002,6.996
2012-03-20,21.641428,204.25,57.189999,6.992
2012-03-21,21.517857,204.690002,57.130001,7.03
2012-03-22,21.405001,205.490005,56.580002,6.88
2012-03-23,21.2875,205.479996,56.91,6.816
2012-03-26,21.677856,207.770004,57.830002,7.48
2012-03-27,21.945715,207.179993,57.799999,7.588
2012-03-28,22.057858,207.289993,56.77,7.57
2012-03-29,21.780714,208.270004,56.799999,7.466
2012-03-30,21.4125,208.649994,57.119999,7.448
2012-04-02,22.093929,209.470001,57.169998,7.316
2012-04-03,22.475714,209.5,56.939999,7.602
2012-04-04,22.296785,206.050003,56.41,7
2012-04-05,22.631428,205.470001,56.310001,6.896
2012-04-09,22.7225,204.940002,55.509998,6.63
2012-04-10,22.444286,202.330002,54.75,6.492
2012-04-11,22.364286,202.580002,55.360001,6.618
2012-04-12,22.241785,205.320007,56.689999,6.688
2012-04-13,21.615356,202.800003,54.82,6.718
2012-04-16,20.718929,202.720001,55.150002,6.45
2012-04-17,21.775,207.449997,55.77,6.448
2012-04-18,21.726429,200.130005,55.919998,6.532
2012-04-19,20.98,199.509995,55.41,6.632
2012-04-20,20.463572,199.600006,55.790001,6.632
2012-04-23,20.417856,198.619995,55.220001,6.388
2012-04-24,20.01,200,56.68,6.364
2012-04-25,21.785715,203.570007,57.549999,6.582
2012-04-26,21.703571,205.580002,57.599998,6.698
2012-04-27,21.535715,206.809998,58.110001,6.668
2012-04-30,20.856428,207.080002,57.380001,6.626
2012-05-01,20.790358,208,57.369999,6.756
2012-05-02,20.927856,208.059998,57.73,6.788
2012-05-03,20.779285,207.240005,57.330002,6.492
2012-05-04,20.1875,204.990005,56.43,6.366
2012-05-07,20.338572,203.75,56.759998,6.494
2012-05-08,20.292143,201.479996,56.529999,6.038
2012-05-09,20.327858,201.229996,55.779999,6.012
2012-05-10,20.375713,200.600006,56.330002,6.592
2012-05-11,20.239643,201.169998,56.389999,6.45
2012-05-14,19.936428,199.440002,55.779999,6.012
2012-05-15,19.756071,199.039993,55.369999,5.886
2012-05-16,19.502857,199.729996,54.889999,5.836
2012-05-17,18.932858,197.889999,53.77,5.714
2012-05-18,18.942142,195.880005,53.549999,5.512
2012-05-21,20.045713,197.759995,54.389999,5.754
2012-05-22,19.891787,196.820007,54.639999,6.16
2012-05-23,20.377142,196.119995,55.099998,6.204
2012-05-24,20.190001,196.089996,55.75,6.056
2012-05-25,20.081785,194.300003,56.290001,5.962
2012-05-29,20.438213,196.460007,57.200001,6.338
2012-05-30,20.684643,194.529999,56,6.082
2012-05-31,20.633215,192.899994,56.150002,5.9
2012-06-01,20.035357,189.080002,54.849998,5.63
2012-06-04,20.153214,188.539993,54.41,5.576
2012-06-05,20.101072,189.199997,54.189999,5.582
2012-06-06,20.409286,193.990005,55.290001,5.844
2012-06-07,20.418571,194.440002,55.860001,5.786
2012-06-08,20.725714,195.139999,56.009998,6.016
2012-06-11,20.398928,192.509995,55.02,5.824
2012-06-12,20.577143,194.550003,55.48,5.932
2012-06-13,20.434286,193.100006,54.52,5.954
2012-06-14,20.411785,195.100006,54.080002,5.878
2012-06-15,20.504642,199.100006,54.48,5.982
2012-06-18,20.920713,198.289993,54.43,6.368
2012-06-19,20.97893,198.929993,55.419998,6.418
2012-06-20,20.919285,198.779999,54.93,6.756
2012-06-21,20.631071,193.389999,53.189999,6.438
2012-06-22,20.789286,193.699997,53.669998,6.758
2012-06-25,20.384644,192.860001,52.259998,6.622
2012-06-26,20.429644,191.949997,51.889999,6.322
2012-06-27,20.517857,193,51.59,6.392
2012-06-28,20.323214,191.399994,50.939999,6.282
2012-06-29,20.857143,195.580002,52.889999,6.258
2012-07-02,21.161428,195.830002,52.060001,6.08
